"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WESD"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-01","0.00","0.0","67","72","61","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-02","0.00","0.0","75","83","67","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-03","0.00","0.0","68","74","61","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-04","0.00","0.0","68","75","61","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-05","0.00","0.0","75","88","61","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-06","2.04","0.0","66","72","59","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-07","0.00","0.0","61","63","59","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-08","0.95","0.0","59","61","56","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-09","0.20","0.0","67","78","56","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-10","0.00","0.0","77","90","64","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-11","0.00","0.0","79","92","66","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-12","0.00","0.0","67","70","63","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-13","0.00","0.0","71","80","62","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-14","0.00","0.0","77","86","67","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-15","0.00","0.0","75","82","68","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-07-16","0.00","0.0","76","86","65","0.0"
